03-2018,7773,4678,3095
04-2018,33979,19826,14153
06-2018,36134,20774,15360
07-2018,28400,15970,12430
08-2018,30355,17092,13263
09-2018,27147,14934,12213
10-2018,21565,11480,10085
11-2018,23783,12549,11234
12-2018,29138,15531,13607
01-2019,25715,13709,12006
02-2019,19644,10207,9437
03-2019,22772,11443,11329
04-2019,22375,11393,10982
05-2019,21894,11126,10768
06-2019,18056,9192,8864
07-2019,18616,9396,9220
05-2018,39469,22848,16621
08-2019,17460,8930,8530
09-2019,18242,9342,8900
10-2019,15591,8548,7043
11-2019,12974,6650,6324
12-2019,15641,8137,7504
01-2020,2502,1343,1159
